price_earnings,price_book,price_sales,valuation_z__scaled,earnings_share,dividend_yield,ebitda,ebitda_log__scaled,profitability_ratio__scaled,market_cap,price,52w_range__scaled,price_to_52w_high__scaled,market_cap_log__scaled,dividend_flag__scaled
27.48,1.6,2.756679,-0.005262051,3.55,2.918904,0,-13.56818948,-1.198261177,11916533018,70.34,1.004524214,-0.703406824,-0.462781567,0
32.75,6.53,2.7614057,0.592157313,4.38,1.0344827,1097295000,-0.247090878,-0.180335155,16676145923,149.32,-0.277069216,0.441339627,-0.197168208,0
17.87,3.07,5.484418,0.108016198,1.91,2.8755577,15447000000,1.445277572,0,1.99426E+11,38.77,0.012979805,0.298046576,1.764160761,0
13.48,0.9,2.1857586,-0.590436554,-3.1,1.7068943,0,-13.56818948,-1.198261177,1.92709E+11,71.87,-0.071302622,0.310992639,1.737082732,0
16.04,1.08,3.3917346,-0.35625148,3.27,1.9625335,0,-13.56818948,-1.198261177,22008050974,42.19,-0.40439378,0.549922568,0.022109573,0
20.37,6.73,4.7538714,0.423203225,-0.24,0,810268000,-0.441145689,-0.248595699,13199167493,84.53,0.528866885,-0.207680864,-0.381982134,-1
32.15,2.51,14.881806,1.577552886,11.94,3.6828613,2851800000,0.364118887,-0.387631114,54423298745,153.04,-0.002540562,0.525344049,0.737718162,0
21.42,2.65,2.4711676,-0.146697791,1.99,3.3918407,2099000000,0.167983593,1.536411365,11873960824,41.77,0.809961174,-0.759246149,-0.465610325,0
22.8,8.65,6.822138,0.898520249,1.49,3.3213644,8589000000,1.069675013,-0.498405808,1.89855E+11,43.1,0.964543388,-0.537339075,1.725289718,0
22.44,3.94,3.9678397,0.164386834,2.54,1.0454783,2946000000,0.384915675,-0.188182518,45119684067,75.16,-0.110221488,0.686553991,0.58954035,0
24.02,205.042,4.000737,17.48210648,2.28,2.2801766,4064000000,0.590797319,-0.177922932,61616643498,68.95,1.146700924,-0.663452452,0.835837209,0
18.54,2.65,2.1797748,-0.274094015,4.74,1.8929017,28675000000,1.841152432,1.18058666,1.86477E+11,38.19,0.674513712,-0.429811464,1.711098618,0
18.89,1.96,4.905472,-0.018135938,4.13,1.2823253,0,-13.56818948,-1.198261177,16274969256,89.18,-0.41270601,0.768027074,-0.216415061,0
18.2,3.86,1.8294994,-0.220460316,1.46,2.3683476,1281200000,-0.147932507,0.180074726,14379717835,35.49,0.526112567,-0.407442973,-0.314273197,0
84.39,2.61,12.271951,3.017398846,-6.8744,0,2151190000,0.183700647,0.312907126,22021882339,140.09,-0.390080317,0.44265152,0.022606153,-1
72.93,2.16,2.0764177,1.465208488,-0.65,2.049254,5328000000,0.764098784,0.060454719,65482462410,53.24,-0.121292835,0.22753156,0.883932849,0
18.64,1.58,2.960244,-0.275697265,4.1,3.8001595,4288000000,0.625131926,1.644373186,23335777662,74.73,0.825928253,-0.710971822,0.068410254,0
30.92,5.14,5.145596,0.678124866,8.71,0.9712818,3033300000,0.403603775,-0.072893755,41697453163,208.73,-0.333384379,0.688988732,0.527195346,0
16.45,1.71,2.544682,-0.383022687,-0.78,2.0791416,2970000000,0.390107928,0.585395348,25759280346,28.45,0.352856657,-0.497759596,0.146506756,0
30.69,7.24,0.61203885,0.345753045,6.09,1.0917627,5679000000,0.804926568,-0.106093384,80439804508,178.61,0.359761739,-0.052842263,1.046537719,0
24.64,1.37,2.0061796,-0.202227664,-0.63,2.860412,211400000,-1.300979618,-0.948637768,13101112504,19.96,-0.253617412,0.805111494,-0.38787578,0
21.45,3.54,10.125291,0.783371301,1.02,3.862069,2292600000,0.224442769,-0.395546207,44183023189,103.81,0.404294536,-0.038827631,0.572959515,0
15.12,11.37,1.3324839,0.267279127,1.83,1.275917,543000000,-0.697286012,0.437764316,5134501276,30.85,0.830648307,-0.313127681,-1.128247698,0
21.94,4.27,4.216355,0.203916459,6.07,1.5102888,5003000000,0.723822007,0.43661949,47340511707,50.47,0.406016237,-0.37537658,0.62751697,0
16.83,3.89,1.9406168,-0.250666292,8.23,2.5008683,2924000000,0.380118816,0.379531117,28669230787,165.73,0.283086484,-0.209306146,0.231102042,0
12.36,2.13,0.549852,-0.704019535,4.91,2.6899798,11704000000,1.267703905,1.205517012,75323141722,70.55,0.679367322,-0.577625862,0.994591774,0
16.32,2.17,1.1931022,-0.498391763,2.73,1.0801469,1691000000,0.02966598,0.305956576,17390873686,44.55,-1.210643857,1.273172287,-0.1639984,0
22.87,2.65,3.688278,0.036687714,3.53,0.5879265,4339800000,0.632816243,-0.186426023,66351150000,92.16,0.382865905,-0.149263531,0.894349221,0
22.72,5.89,1.5278828,0.069182233,3.81,2.6503997,997600000,-0.308045927,0.115661808,11745595320,91.33,0.090377765,0.284911673,-0.47420152,0
20.55,2.79,1.1451397,-0.311081022,4.3,0,2252294000,0.213091936,1.347766571,13685178000,71.91,-0.425848817,0.674022338,-0.35340187,-1
23.14,5.31,2.3746448,0.127572495,6.64,1.4866204,4053300000,0.589110211,0.003278206,52186628646,153.66,-0.661820477,0.960298889,0.704548523,0
10.37,2.67,0.91792434,-0.682260653,4.94,2.2655525,8348000000,1.051462065,2.165398645,38393603535,51.23,0.125512735,-0.139737383,0.461949105,0
22.65,1.8,4.626262,0.060967788,1.99,0.60034305,-371216000,-13.56818948,-1.627123565,13390513478,56.85,0.447468187,-0.494514798,-0.370606216,0
23.93,2.85,2.0660408,-0.091924366,-6.8744,0.6528836,3723000000,0.534714166,1.783228544,19317380000,34.94,-0.749924331,0.039416509,-0.080960064,0
16.55,2.32,12.434961,0.774431916,2.19,3.5710857,1260662000,-0.158274066,-0.286976513,21400952517,98.96,0.707379935,-0.914692732,0,0
12.13,2.52,2.3610325,-0.47635542,5.41,1.8269607,0,-13.56818948,-1.198261177,27433540000,72.4,-0.022870016,0.225332552,0.196278859,0
11,1.5,1.804088,-0.663202431,1.96,0,2100000000,0.168288399,2.508695276,8763756733,22.87,-1.385785968,0.921362279,-0.705670795,-1
10.37,1.43,1.7147918,-0.69992571,1.96,0,2100000000,0.168288399,2.706287032,8320262123,21.58,-1.502916438,0.95941975,-0.746716585,-1
16.09,3.76,1.8521843,-0.296069536,3.06,0,2754331000,0.341864409,0.827597811,21032719056,43.77,-0.518721603,-0.705060115,-0.013718173,-1
21.18,4.53,1.5283886,-0.098263171,4.43,1.0625255,2457604000,0.268918936,0.232064369,26580644874,95.1,-0.639729773,0.967301418,0.171315868,0
26.66,4.08,1.6097589,0.05281422,3.77,0,2430300000,0.26176939,0.2965616,25151198417,101.58,-1.118053581,1.39923672,0.127624743,-1
20.42,2.96,3.7954214,-0.005527063,4.91,4.5281997,6428000000,0.884207845,0.893309598,47543571860,73.31,1.058616489,-0.730851469,0.630899991,0
23.87,3.59,1.986176,-0.039279966,5.15,1.8815053,1513291000,-0.041388868,0.305628267,15566645713,96.2,-0.09720219,0.285821904,-0.251585757,0
49.43,1.54,2.6922395,0.705954643,1.59,2.1529746,5250000000,0.754661016,-0.706641728,1.65203E+11,68.21,0.98908543,-0.561706507,1.61535762,0
26.57,9.99,4.2149186,0.847363848,4.54,1.9661016,1507000000,-0.044054756,-0.099089542,21209783858,116.93,-0.374199607,0.818193932,-0.007092074,0
19.12,1.95,1.9091922,-0.34520457,4.82,3.5559585,2790000000,0.350098547,1.22542152,17808073691,98.49,0.963131532,-0.747274766,-0.14526107,0
16.7,1.27,2.9348857,-0.369080578,3.12,4.7849464,9895000000,1.160257006,1.741069559,52078185682,74.32,0.705906071,-0.751049809,0.702904392,0
19.77,1.94,16.077257,1.25371528,0.88,3.1533308,529483000,-0.713417829,-0.291697601,9035293365,24.52,0.910944034,-0.863101593,-0.681552977,0
79.93,2.26,1.9598055,1.691544808,-0.89,0.7493755,1628000000,0.005368801,-0.279387696,27408621020,91.92,-0.366188706,0.621553664,0.195560588,0
22.14,2.15,5.689136,0.192605779,2.15,0,0,-13.56818948,-1.198261177,13754977266,48.48,-1.013648722,1.218204042,-0.349380835,-1
12.28,2.78,1.4904785,-0.546074858,10.12,2.2630835,2152000000,0.183941563,1.141775171,14226830813,93.57,0.202004629,0.110356341,-0.322721743,0
17.08,2.17,1.8161736,-0.403928158,6.68,2.9404557,4253000000,0.619887087,0.631282587,35961772000,79.41,0.536827425,-0.245298613,0.410230268,0
24.86,3.8,4.6720185,0.310587973,-1.07,0,2941000000,0.383828633,-0.169304153,44216696399,41.02,-0.205120199,0.335819038,0.573561668,-1
28.08,5.28,3.7360687,0.439501821,4.14,1.2319711,2848600000,0.363400406,-0.052464341,38460272282,127.76,1.153374815,-0.55144383,0.463320395,0
13.23,1.59,2.161095,-0.542197506,3.96,4.0542803,4284000000,0.624534687,2.209509559,19447670886,58.07,0,-0.876323475,-0.075646963,0
32.57,8.48,7.8283277,1.318071573,2.88,0,1156700000,-0.213351194,-0.546313449,27447099863,123.78,-0.476711859,0.748102633,0.196669438,-1
34.48,8.54,7.4415817,1.343097478,3.07,0,1560000000,-0.021935236,-0.561339699,37890226992,116.54,-0.663985097,0.936477745,0.45151778,-1
25.74,5.01,3.6707752,0.331917779,2.35,2.813225,2542000000,0.290526107,-0.305338616,44040298425,66.4,0.454766664,-0.138663178,0.570402172,0
